Plant_Name,Temperature_Range(°C),Humidity_Range(%),NPK_Required(mg/kg),Fertilizer_Used,Fertilizer_Bags_per_ha,Fertilizer_Bags_per_sqm,Fertilizer_Bags_per_acre
Lettuce,14-22,53-77,125-62-82,Urea,8.09,0.2752,4.81
Strawberry,16-24,40-60,120-60-80,Vermicompost,12.5,0.2874,7.85
Tomato,22-30,58-78,90-40-60,Vermicompost,10.51,0.1461,7.57
Eggplant,15-22,62-82,110-55-75,MOP,21.35,0.1876,2.74
Spinach,18-25,58-78,125-62-82,NPK 20-20-20,5.64,0.1106,4.44
Bell Pepper,21-29,50-72,110-55-75,Superphosphate,29.61,0.1075,6.71
Cucumber,21-29,50-72,135-68-88,NPK 20-20-20,15.64,0.0949,2.14
Spinach,15-22,50-70,105-52-72,Vermicompost,22.56,0.0737,6.38
Eggplant,21-29,62-82,100-50-70,Ammonium Sulphate,10.42,0.2718,9.43
Cucumber,18-Oct,60-80,100-50-70,Vermicompost,11.49,0.1296,11.85
Eggplant,19-26,58-78,105-52-72,Superphosphate,5.54,0.1297,9.32
Broccoli,16-24,60-80,135-68-88,MOP,13.57,0.0542,2.84
Tomato,21-29,58-78,95-45-65,NPK 20-20-20,17.3,0.0645,8.16
Spinach,21-29,62-82,140-70-90,Urea,25.42,0.2082,10.23
Spinach,14-22,55-75,125-62-82,MOP,9.29,0.2406,8.45
Eggplant,16-24,40-60,90-40-60,Compost,27.31,0.0933,5.4
Carrot,18-Oct,50-70,110-55-75,DAP,11.77,0.0634,3.41
Eggplant,20-28,40-60,125-62-82,DAP,5.34,0.2452,9.54
Eggplant,18-Oct,53-77,100-50-70,Compost,21.83,0.1362,7.73
Tomato,15-22,60-80,95-45-65,Ammonium Sulphate,28.7,0.1025,11.74
Spinach,16-24,60-80,130-65-85,Compost,25.42,0.2615,5.05
Carrot,21-29,58-78,140-70-90,Vermicompost,25.82,0.2044,10.4
Bell Pepper,15-22,45-65,110-55-75,Compost,26.82,0.1436,8.65
Zucchini,15-22,62-82,125-62-82,Compost,26.34,0.115,7.83
Bell Pepper,22-30,55-75,125-62-82,MOP,10.02,0.2877,6
Eggplant,19-26,60-80,135-68-88,NPK 20-20-20,26.92,0.264,8.57
Tomato,18-Oct,55-75,140-70-90,MOP,10.81,0.1014,7.41
Bell Pepper,16-24,50-72,140-70-90,Ammonium Sulphate,16.36,0.0571,10.3
Eggplant,20-Dec,40-60,95-45-65,Superphosphate,18.27,0.0921,3.38
Zucchini,22-30,50-72,135-68-88,Superphosphate,8.31,0.294,6.82
Cucumber,18-25,62-82,140-70-90,Compost,10.04,0.1907,10.99
Spinach,16-24,62-82,90-40-60,Superphosphate,22.31,0.1982,11.59
Strawberry,16-24,58-78,140-70-90,DAP,13.71,0.2768,2.86
Tomato,18-Oct,50-70,125-62-82,Compost,27.75,0.1139,9.25
Lettuce,21-29,55-75,125-62-82,NPK 20-20-20,8.51,0.0869,11.81
Strawberry,14-22,45-65,135-68-88,Vermicompost,25.86,0.275,10.96
Spinach,16-24,53-77,135-68-88,Ammonium Sulphate,25.6,0.1704,7.02
Strawberry,14-22,53-77,95-45-65,Superphosphate,24.41,0.2618,8.29
Tomato,18-25,45-65,100-50-70,NPK 20-20-20,27.05,0.2241,2.6
Eggplant,22-30,58-78,95-45-65,Ammonium Sulphate,15.9,0.1428,5.35
Eggplant,15-22,62-82,120-60-80,Vermicompost,22.93,0.2492,3.27
Zucchini,21-29,50-70,90-40-60,Ammonium Sulphate,19.78,0.1419,2.8
Eggplant,20-Dec,60-80,125-62-82,Compost,6.69,0.1145,5.12
Lettuce,20-Dec,65-85,140-70-90,Superphosphate,29.08,0.2429,9.82
Eggplant,20-28,50-70,140-70-90,Urea,24.48,0.1088,8.47
Carrot,15-22,58-78,135-68-88,Superphosphate,20.08,0.2298,9.78
Carrot,22-30,58-78,105-52-72,Urea,14.17,0.2128,6.45
Bell Pepper,15-22,55-75,135-68-88,DAP,18.85,0.2693,5.39
Tomato,21-29,58-78,90-40-60,Urea,29.38,0.1069,9.11
Carrot,14-22,55-75,140-70-90,Compost,20.55,0.2643,9.09
Strawberry,22-30,50-72,125-62-82,Urea,21.39,0.2708,2.43
Spinach,15-22,60-80,140-70-90,Compost,7.54,0.0505,4.32
Carrot,18-Oct,55-75,95-45-65,DAP,6.62,0.2832,3.28
Lettuce,21-29,65-85,130-65-85,Compost,7.75,0.0866,7.31
Lettuce,18-Oct,65-85,140-70-90,Superphosphate,21.74,0.0582,5.82
Strawberry,22-30,60-80,140-70-90,MOP,12.54,0.2634,4.32
Cucumber,20-Dec,50-70,120-60-80,NPK 20-20-20,17.96,0.1378,3.47
Zucchini,18-Oct,65-85,90-40-60,Compost,19.78,0.0749,4.57
Bell Pepper,18-25,53-77,120-60-80,Superphosphate,20.4,0.2074,2.63
Cucumber,19-26,58-78,110-55-75,NPK 20-20-20,24.02,0.2015,6.36
Lettuce,15-22,50-72,120-60-80,Ammonium Sulphate,11.78,0.1067,4.59
Tomato,14-22,55-75,110-55-75,Vermicompost,17.62,0.0824,11.64
Cucumber,18-Oct,60-80,125-62-82,Vermicompost,24.15,0.2567,5.23
Zucchini,20-Dec,58-78,100-50-70,NPK 20-20-20,26.81,0.0852,6.13
Tomato,20-Dec,65-85,100-50-70,DAP,13.97,0.148,5.69
Eggplant,20-28,58-78,90-40-60,Vermicompost,17.67,0.0659,11.97
Bell Pepper,22-30,60-80,120-60-80,Superphosphate,9.5,0.2533,3.87
Spinach,16-24,50-72,140-70-90,Ammonium Sulphate,21.41,0.1501,9.22
Strawberry,18-25,50-70,135-68-88,NPK 20-20-20,15.13,0.0939,7.52
Strawberry,21-29,58-78,110-55-75,DAP,11.53,0.1888,3.22
Spinach,18-Oct,60-80,130-65-85,DAP,23.47,0.2716,11.2
Broccoli,15-22,45-65,120-60-80,DAP,20.57,0.1987,10.12
Cucumber,20-Dec,58-78,125-62-82,DAP,5.04,0.2714,7.91
Lettuce,22-30,40-60,90-40-60,Urea,14.56,0.2394,8.81
Bell Pepper,16-24,40-60,130-65-85,Urea,10.93,0.293,3.6
Cucumber,15-22,58-78,135-68-88,Compost,22.16,0.1061,8.45
Bell Pepper,18-25,50-72,110-55-75,DAP,24.29,0.1457,9.23
Broccoli,18-25,50-72,95-45-65,MOP,22.2,0.2834,4.95
Zucchini,15-22,45-65,125-62-82,Vermicompost,11.88,0.1887,10.42
Eggplant,21-29,50-72,140-70-90,NPK 20-20-20,15.74,0.1613,10.81
Lettuce,22-30,50-72,120-60-80,Superphosphate,6.54,0.2711,5.74
Spinach,22-30,53-77,100-50-70,Vermicompost,28.35,0.1335,7.91
Bell Pepper,18-25,53-77,105-52-72,Compost,21.63,0.1709,3.8
Spinach,16-24,50-70,130-65-85,Compost,21.3,0.1472,4.12
Eggplant,15-22,45-65,130-65-85,NPK 20-20-20,24.18,0.226,6.72
Zucchini,20-Dec,58-78,100-50-70,MOP,21.44,0.1107,10.5
Spinach,15-22,65-85,110-55-75,Ammonium Sulphate,27.12,0.1389,2.87
Cucumber,22-30,55-75,135-68-88,Compost,14.29,0.1532,5.94
Cucumber,20-28,53-77,140-70-90,Superphosphate,14.6,0.2431,2.47
Lettuce,14-22,53-77,110-55-75,Urea,27.72,0.2714,2.39
Zucchini,15-22,45-65,100-50-70,Vermicompost,14.64,0.1822,3.5
Spinach,20-28,40-60,135-68-88,Ammonium Sulphate,22.35,0.1477,3.41
Zucchini,20-Dec,60-80,135-68-88,MOP,8.88,0.2289,10.28
Lettuce,18-Oct,55-75,110-55-75,NPK 20-20-20,20.21,0.2443,7.8
Tomato,20-28,65-85,100-50-70,Compost,26.67,0.2477,11.75
Zucchini,18-25,40-60,90-40-60,Superphosphate,5.2,0.1533,10.13
Tomato,21-29,55-75,95-45-65,NPK 20-20-20,7.83,0.1472,4.65
Tomato,18-25,50-72,120-60-80,MOP,20.63,0.2788,9.74
Broccoli,20-28,50-72,135-68-88,Compost,7.3,0.1515,8.71
Cucumber,22-30,50-72,130-65-85,Ammonium Sulphate,6.59,0.1779,6.86
Carrot,15-22,45-65,100-50-70,DAP,10.6,0.2556,10.13
Eggplant,19-26,50-70,135-68-88,Superphosphate,21.89,0.0916,6.23
Lettuce,14-22,40-60,105-52-72,MOP,16.91,0.0637,9.8
Cucumber,22-30,50-70,100-50-70,MOP,6.79,0.0514,9.41
Carrot,18-Oct,58-78,125-62-82,Compost,18.99,0.108,8.79
Lettuce,18-Oct,50-70,105-52-72,Vermicompost,18.35,0.2333,2.14
Lettuce,22-30,58-78,95-45-65,DAP,23.16,0.1412,3.5
Bell Pepper,16-24,58-78,125-62-82,MOP,11.98,0.1553,6.98
Lettuce,16-24,50-70,100-50-70,DAP,23.02,0.2463,3.04
Eggplant,22-30,58-78,90-40-60,DAP,21.81,0.2701,3.73
Strawberry,20-28,62-82,110-55-75,Ammonium Sulphate,8.78,0.2683,7.54
Tomato,21-29,55-75,110-55-75,Ammonium Sulphate,6.49,0.2083,4.74
Eggplant,20-Dec,53-77,125-62-82,Vermicompost,21.4,0.0855,10.38
Bell Pepper,22-30,40-60,105-52-72,MOP,23.8,0.2329,9.78
Strawberry,18-Oct,53-77,120-60-80,MOP,5.27,0.0911,10.89
Eggplant,18-Oct,45-65,130-65-85,MOP,11.97,0.2862,5.68
Eggplant,15-22,65-85,130-65-85,Urea,12.85,0.2445,10.54
Cucumber,18-Oct,55-75,105-52-72,Urea,7.39,0.2933,7.43
Carrot,22-30,55-75,105-52-72,MOP,24.07,0.1298,10.13
Spinach,19-26,50-72,100-50-70,Compost,9.19,0.0515,7.43
Lettuce,18-Oct,55-75,120-60-80,Compost,26.58,0.2047,3.32
Spinach,19-26,53-77,110-55-75,Compost,5.05,0.2719,5.24
Bell Pepper,19-26,50-72,135-68-88,MOP,29.96,0.0938,3.59
Spinach,14-22,53-77,120-60-80,Superphosphate,18.97,0.1478,8.39
Spinach,14-22,60-80,110-55-75,DAP,5.4,0.1879,2.08
Lettuce,15-22,40-60,130-65-85,Vermicompost,23.24,0.2748,11.06
Carrot,16-24,55-75,110-55-75,NPK 20-20-20,14.12,0.0996,8.25
Carrot,18-25,58-78,140-70-90,NPK 20-20-20,7.27,0.2995,6.83
Zucchini,22-30,40-60,135-68-88,Ammonium Sulphate,26.96,0.0851,2.02
Tomato,15-22,62-82,90-40-60,Superphosphate,6.45,0.0919,6.99
Cucumber,16-24,58-78,140-70-90,NPK 20-20-20,23.46,0.2543,10.99
Strawberry,19-26,65-85,95-45-65,DAP,7.66,0.1256,4.89
Lettuce,20-28,50-72,130-65-85,Urea,13.56,0.0961,8.24
Carrot,20-28,45-65,120-60-80,Ammonium Sulphate,13.97,0.231,10.82
Lettuce,18-Oct,50-72,135-68-88,Superphosphate,27.92,0.2156,11.91
Broccoli,16-24,40-60,105-52-72,Vermicompost,7.01,0.2041,7.06
Spinach,22-30,55-75,100-50-70,Vermicompost,26.79,0.2537,8.81
Tomato,14-22,40-60,105-52-72,Compost,23.01,0.2305,6.38
Carrot,20-28,60-80,110-55-75,Superphosphate,9.33,0.0882,2.75
Eggplant,20-28,40-60,100-50-70,Ammonium Sulphate,6.05,0.0876,6.35
Bell Pepper,18-Oct,40-60,125-62-82,Ammonium Sulphate,28.72,0.0762,11.17
Tomato,18-Oct,50-70,125-62-82,Urea,6.56,0.1252,2.48
Zucchini,20-Dec,58-78,100-50-70,MOP,21.76,0.1009,8.71
Spinach,14-22,62-82,105-52-72,NPK 20-20-20,22.16,0.0906,6.67
Cucumber,22-30,40-60,135-68-88,NPK 20-20-20,6.14,0.1714,10.52
Spinach,18-25,50-72,110-55-75,Compost,19.23,0.1547,8.23
Eggplant,16-24,45-65,125-62-82,Compost,12.53,0.1022,3.04
Broccoli,14-22,55-75,95-45-65,DAP,7.11,0.1586,10.77
Spinach,22-30,50-70,95-45-65,NPK 20-20-20,18.2,0.1089,3.09
Lettuce,19-26,60-80,100-50-70,NPK 20-20-20,29.68,0.1425,11.49
Eggplant,16-24,65-85,100-50-70,Urea,27.98,0.1241,2.66
Eggplant,21-29,58-78,105-52-72,NPK 20-20-20,24.26,0.2538,11.04
Strawberry,16-24,50-72,120-60-80,Vermicompost,8.98,0.1103,5.27
Spinach,15-22,50-70,120-60-80,Urea,28.32,0.2234,8.13
Carrot,19-26,58-78,95-45-65,MOP,6.9,0.1742,4.64
Zucchini,22-30,40-60,125-62-82,Ammonium Sulphate,22.91,0.1635,5.71
Bell Pepper,20-28,50-70,95-45-65,DAP,28.06,0.1196,10.64
Strawberry,14-22,50-70,125-62-82,MOP,22.06,0.1347,7.83
Eggplant,19-26,58-78,135-68-88,Ammonium Sulphate,24.1,0.1161,11.34
Carrot,18-Oct,45-65,120-60-80,NPK 20-20-20,6.65,0.1065,10.97
Cucumber,20-Dec,55-75,125-62-82,Vermicompost,11.31,0.2721,8.92
Carrot,20-28,62-82,130-65-85,NPK 20-20-20,5.52,0.2716,4.9
Bell Pepper,22-30,50-72,95-45-65,MOP,25.07,0.2743,3.78
Zucchini,20-28,53-77,90-40-60,Ammonium Sulphate,18.69,0.2941,11.06
Eggplant,20-Dec,45-65,95-45-65,Ammonium Sulphate,29.62,0.2143,5.13
Cucumber,18-Oct,45-65,120-60-80,Ammonium Sulphate,25.99,0.1777,11.46
Carrot,18-Oct,50-72,140-70-90,NPK 20-20-20,28.9,0.1809,11.44
Eggplant,14-22,58-78,90-40-60,Ammonium Sulphate,12.39,0.0797,10.6
Lettuce,18-Oct,62-82,90-40-60,MOP,25.67,0.2135,6.93
Broccoli,22-30,50-70,95-45-65,Urea,16.47,0.2562,6.65
Bell Pepper,22-30,53-77,95-45-65,DAP,22.59,0.2836,11.93
Zucchini,19-26,58-78,95-45-65,Compost,9.32,0.0898,5.04
Spinach,18-25,53-77,100-50-70,Compost,18.74,0.1057,11.24
Spinach,18-Oct,50-70,140-70-90,Ammonium Sulphate,8.15,0.2431,9.55
Spinach,16-24,65-85,125-62-82,Compost,18.06,0.1198,6.47
Strawberry,14-22,45-65,105-52-72,Superphosphate,27.03,0.2524,7.31
Bell Pepper,20-28,65-85,90-40-60,Superphosphate,20.36,0.0721,9.03
Lettuce,19-26,50-72,120-60-80,DAP,16.38,0.1371,4.18
Broccoli,19-26,50-72,130-65-85,Superphosphate,28.93,0.0709,8.8
Strawberry,22-30,50-72,140-70-90,Superphosphate,5.54,0.1125,4.24
Cucumber,14-22,40-60,140-70-90,Compost,9.73,0.1733,9.5
Eggplant,14-22,58-78,130-65-85,Compost,12.37,0.194,3.35
Tomato,19-26,50-72,140-70-90,Vermicompost,7.68,0.073,6.75
Eggplant,15-22,50-72,140-70-90,Ammonium Sulphate,27.87,0.2163,3.34
Tomato,22-30,50-70,135-68-88,NPK 20-20-20,12.65,0.075,9.58
Bell Pepper,15-22,55-75,140-70-90,Ammonium Sulphate,9.36,0.2968,11.62
Strawberry,20-28,62-82,130-65-85,Vermicompost,19.57,0.0511,3.11
Eggplant,18-Oct,55-75,135-68-88,Compost,12.17,0.0776,7.83
Cucumber,22-30,60-80,105-52-72,Superphosphate,18.93,0.1843,7.12
Tomato,14-22,40-60,110-55-75,Compost,5.62,0.1293,10.71
Bell Pepper,15-22,40-60,135-68-88,Superphosphate,5.26,0.1593,5.82
Zucchini,20-28,53-77,120-60-80,Compost,12.01,0.215,9.55
Broccoli,22-30,53-77,100-50-70,Urea,25.72,0.1117,10.96
Eggplant,16-24,55-75,125-62-82,Ammonium Sulphate,21.27,0.2896,5.37
Cucumber,18-25,58-78,135-68-88,Urea,12.28,0.2285,4.42
Lettuce,18-Oct,60-80,140-70-90,MOP,7.59,0.0991,9.14
Lettuce,21-29,50-70,130-65-85,NPK 20-20-20,10.99,0.0878,4.89
Bell Pepper,18-25,62-82,105-52-72,NPK 20-20-20,8.92,0.19,11.57
Bell Pepper,16-24,53-77,110-55-75,NPK 20-20-20,25.12,0.2024,4.74
Carrot,14-22,50-72,110-55-75,Superphosphate,18.24,0.1565,5.05
Broccoli,16-24,60-80,110-55-75,Superphosphate,14.47,0.1375,8.25
Tomato,20-28,58-78,135-68-88,Superphosphate,29.56,0.2605,2.85
Tomato,20-Dec,62-82,140-70-90,Superphosphate,29.7,0.2187,9.29
Carrot,19-26,55-75,130-65-85,NPK 20-20-20,5.77,0.0531,11.14
Lettuce,20-28,40-60,130-65-85,MOP,20.88,0.1342,3.72
Cucumber,16-24,65-85,105-52-72,Compost,11.02,0.2375,11.95
Eggplant,18-25,40-60,105-52-72,Urea,27.57,0.1589,10.63
Lettuce,14-22,45-65,95-45-65,Superphosphate,12.18,0.186,2.45
Broccoli,14-22,40-60,130-65-85,Superphosphate,22.38,0.2361,3.45
Cucumber,19-26,55-75,100-50-70,DAP,24.67,0.101,5.94
Eggplant,21-29,65-85,95-45-65,NPK 20-20-20,13.39,0.2792,11.35
Eggplant,16-24,65-85,120-60-80,DAP,29.96,0.183,10.28
Tomato,15-22,45-65,90-40-60,Ammonium Sulphate,5.56,0.1615,9.53
Bell Pepper,16-24,62-82,120-60-80,NPK 20-20-20,7.54,0.2378,9.56
Broccoli,18-Oct,55-75,90-40-60,Vermicompost,11.19,0.1332,5.99
Lettuce,18-Oct,58-78,125-62-82,Compost,28.68,0.2424,9.64
Lettuce,21-29,58-78,110-55-75,NPK 20-20-20,28.57,0.2702,11.46
Carrot,20-Dec,62-82,125-62-82,NPK 20-20-20,25.21,0.2084,10.32
Cucumber,16-24,58-78,105-52-72,Ammonium Sulphate,16.06,0.183,3.87
Carrot,18-Oct,58-78,130-65-85,Superphosphate,29.61,0.2178,4.45
Carrot,19-26,62-82,125-62-82,Compost,5.26,0.1605,3.24
Tomato,20-Dec,40-60,130-65-85,Superphosphate,21.41,0.0907,10
Lettuce,18-25,50-72,90-40-60,Urea,21.37,0.0896,11.88
Lettuce,14-22,40-60,135-68-88,Compost,21.82,0.2147,4.3
Bell Pepper,18-25,50-70,95-45-65,DAP,14.7,0.2669,3.53
Lettuce,16-24,65-85,130-65-85,Vermicompost,21.82,0.1513,4.97
Tomato,20-Dec,65-85,135-68-88,Urea,9.62,0.2809,9.66
Lettuce,15-22,53-77,100-50-70,Compost,16.72,0.0901,8.67
Bell Pepper,21-29,53-77,140-70-90,Vermicompost,16.9,0.1633,3.36
Zucchini,14-22,60-80,90-40-60,Urea,20.79,0.2097,11.19
Tomato,14-22,60-80,110-55-75,NPK 20-20-20,28.75,0.2583,7.44
Cucumber,20-Dec,60-80,110-55-75,Vermicompost,20.49,0.2017,6.73
Strawberry,15-22,50-70,105-52-72,Compost,28.49,0.0846,8.09
Lettuce,16-24,40-60,125-62-82,Vermicompost,13.78,0.1097,7.86
Eggplant,20-28,58-78,110-55-75,Vermicompost,22.05,0.0905,6.33
Lettuce,20-Dec,55-75,100-50-70,Superphosphate,9.83,0.2125,11.04
Tomato,20-28,53-77,135-68-88,MOP,14.15,0.258,2.94
Broccoli,20-28,53-77,110-55-75,NPK 20-20-20,12.99,0.0925,11.54
Broccoli,20-Dec,50-72,120-60-80,Urea,29.58,0.1899,9.61
Cucumber,18-25,55-75,90-40-60,Urea,17.46,0.0848,5.84
Carrot,19-26,45-65,130-65-85,DAP,26.07,0.1332,2.34
Carrot,20-Dec,50-72,120-60-80,Compost,6.69,0.2928,11.94
Eggplant,22-30,60-80,135-68-88,NPK 20-20-20,11.88,0.2469,4.01
Broccoli,22-30,60-80,100-50-70,Superphosphate,26.22,0.2451,8.5
Lettuce,14-22,65-85,100-50-70,Urea,14.27,0.0823,2.87
Zucchini,21-29,40-60,120-60-80,Ammonium Sulphate,23.26,0.2101,10.82
Carrot,19-26,62-82,130-65-85,Vermicompost,22.8,0.2138,6.79
Cucumber,15-22,45-65,110-55-75,Superphosphate,12.49,0.175,7.28
Zucchini,16-24,55-75,105-52-72,NPK 20-20-20,21.77,0.2885,4.32
Lettuce,21-29,62-82,135-68-88,MOP,29.12,0.2751,6.91
Strawberry,20-28,58-78,125-62-82,DAP,8.4,0.1117,8.49
Lettuce,20-28,60-80,120-60-80,Urea,10.24,0.2225,6.16
Tomato,19-26,65-85,90-40-60,Ammonium Sulphate,12.24,0.1195,5.73
Spinach,15-22,45-65,130-65-85,NPK 20-20-20,24.26,0.1561,6.27
Strawberry,20-28,45-65,125-62-82,NPK 20-20-20,29.66,0.1797,7.48
Eggplant,15-22,45-65,120-60-80,Ammonium Sulphate,13.54,0.16,2.19
Spinach,21-29,50-72,95-45-65,Compost,20.21,0.1785,7.51
Eggplant,22-30,62-82,90-40-60,Compost,11.69,0.2605,6.24
Eggplant,18-Oct,62-82,125-62-82,Ammonium Sulphate,16.4,0.2947,10.71
Spinach,21-29,60-80,95-45-65,Vermicompost,6.42,0.1763,5.85
Tomato,18-Oct,50-72,140-70-90,Superphosphate,27.07,0.1448,4.75
Strawberry,22-30,65-85,120-60-80,DAP,8.24,0.1581,2.09
Carrot,16-24,60-80,110-55-75,Vermicompost,11.8,0.174,7.47
Carrot,19-26,50-70,130-65-85,Ammonium Sulphate,21.04,0.2893,7.64
Carrot,15-22,53-77,105-52-72,NPK 20-20-20,9.22,0.1978,5.77
Spinach,14-22,62-82,90-40-60,Vermicompost,13.36,0.0946,9.76
Bell Pepper,18-25,45-65,95-45-65,Vermicompost,19.66,0.1815,4.89
Strawberry,16-24,40-60,125-62-82,Ammonium Sulphate,22.98,0.2594,9.34
Broccoli,22-30,62-82,140-70-90,Ammonium Sulphate,29.19,0.1759,6.04
Carrot,20-Dec,55-75,110-55-75,Vermicompost,29.14,0.1712,6.02
Eggplant,16-24,50-70,95-45-65,Compost,23.48,0.2853,11.45
Strawberry,22-30,65-85,125-62-82,DAP,23.78,0.2352,9.11
Lettuce,19-26,40-60,140-70-90,Vermicompost,23.72,0.1629,6.08
Strawberry,22-30,62-82,120-60-80,NPK 20-20-20,24.7,0.2246,8.95
Carrot,22-30,50-70,95-45-65,Vermicompost,29.1,0.1404,8.77
Tomato,16-24,65-85,105-52-72,Urea,8.24,0.2386,2.58
Carrot,14-22,55-75,120-60-80,Superphosphate,19.09,0.2396,2.65
Carrot,14-22,50-70,140-70-90,Ammonium Sulphate,27.92,0.1798,3.65
Zucchini,22-30,55-75,100-50-70,MOP,14,0.1745,4.11
Tomato,19-26,58-78,130-65-85,Superphosphate,9.16,0.0567,4.47
Tomato,19-26,50-72,100-50-70,MOP,10.87,0.0539,10.96
Zucchini,15-22,60-80,125-62-82,NPK 20-20-20,10.73,0.1527,5.72
Spinach,16-24,53-77,100-50-70,Urea,17.64,0.2131,9.38
Spinach,19-26,50-70,135-68-88,Vermicompost,9.19,0.276,3.35
Bell Pepper,20-28,65-85,125-62-82,MOP,17.58,0.1953,2.01
Broccoli,18-25,45-65,135-68-88,Vermicompost,6.43,0.0588,10.13
Lettuce,20-28,50-72,105-52-72,Superphosphate,22.41,0.1318,3.38
Zucchini,22-30,60-80,130-65-85,Vermicompost,11.35,0.1636,6.4
Bell Pepper,14-22,58-78,90-40-60,Superphosphate,5.34,0.259,8.86
Spinach,22-30,58-78,105-52-72,Ammonium Sulphate,12.27,0.2121,4.24
Lettuce,20-28,65-85,100-50-70,MOP,13.29,0.2171,8.78
Strawberry,18-25,50-72,100-50-70,MOP,7.83,0.0951,6.75
Eggplant,14-22,50-70,90-40-60,Vermicompost,13.7,0.2491,9.32
Eggplant,21-29,50-72,125-62-82,Urea,8.55,0.297,7.49
Zucchini,16-24,62-82,110-55-75,Compost,19.23,0.2798,6.59
Cucumber,18-Oct,65-85,95-45-65,Ammonium Sulphate,14.67,0.0601,9.71
Bell Pepper,15-22,50-70,140-70-90,Vermicompost,6.12,0.0578,10.23
Strawberry,16-24,50-72,95-45-65,DAP,21.91,0.1975,3.71
Tomato,20-Dec,50-72,140-70-90,Vermicompost,24.71,0.156,5.26
Carrot,16-24,50-70,135-68-88,Urea,27.65,0.2789,7.09
Carrot,20-28,53-77,135-68-88,Urea,5.49,0.1919,10.31
Bell Pepper,16-24,50-72,110-55-75,DAP,18.02,0.0882,9.48
Eggplant,15-22,60-80,130-65-85,Compost,16.54,0.1983,3.11
Broccoli,22-30,58-78,105-52-72,Ammonium Sulphate,29.51,0.0622,7.75
Zucchini,19-26,58-78,95-45-65,Urea,27.36,0.2342,11.29
Bell Pepper,18-25,53-77,95-45-65,MOP,12.37,0.1479,8.58
Broccoli,20-Dec,65-85,120-60-80,MOP,11.62,0.0959,2.96
Strawberry,14-22,50-70,140-70-90,DAP,29.94,0.2764,9.6
Spinach,16-24,65-85,135-68-88,Ammonium Sulphate,28.43,0.0747,11.2
Strawberry,18-25,65-85,105-52-72,MOP,19.37,0.2877,7.67
Eggplant,20-Dec,60-80,110-55-75,Compost,10.97,0.1908,3.8
Spinach,22-30,60-80,120-60-80,Compost,11.43,0.2103,3.87
Carrot,21-29,50-72,100-50-70,Compost,9.86,0.1562,10.37
Carrot,14-22,60-80,110-55-75,DAP,16.37,0.1502,3.75
Eggplant,22-30,65-85,95-45-65,Vermicompost,12.92,0.0681,10.83
Tomato,15-22,40-60,130-65-85,Ammonium Sulphate,27.36,0.0565,9.39
Carrot,18-25,40-60,110-55-75,NPK 20-20-20,5.56,0.094,2.01
Broccoli,14-22,65-85,120-60-80,Superphosphate,29.36,0.177,9.54
Broccoli,22-30,65-85,140-70-90,NPK 20-20-20,14.48,0.2813,4.98
Broccoli,14-22,65-85,135-68-88,MOP,21.56,0.2257,4.03
Spinach,20-Dec,62-82,140-70-90,Ammonium Sulphate,23.43,0.1549,8.72
Spinach,18-25,40-60,100-50-70,DAP,20.5,0.2052,7.67
Strawberry,20-Dec,50-70,135-68-88,Ammonium Sulphate,6.96,0.2945,5.52
Broccoli,18-25,45-65,90-40-60,Compost,12.42,0.1344,5.45
Carrot,18-Oct,40-60,95-45-65,Superphosphate,19.44,0.2362,4.33
Broccoli,20-28,58-78,110-55-75,DAP,13.5,0.0759,5.46
Tomato,20-Dec,55-75,120-60-80,Superphosphate,28.69,0.2967,10.29
Strawberry,15-22,60-80,130-65-85,Urea,23.59,0.1228,9.08
Strawberry,21-29,50-72,135-68-88,MOP,22.85,0.2769,3.87
Spinach,20-28,50-70,125-62-82,Vermicompost,12.52,0.2488,5.23
Spinach,15-22,58-78,140-70-90,NPK 20-20-20,13.58,0.1593,4.15
Tomato,21-29,58-78,120-60-80,DAP,18.49,0.2246,9.33
Lettuce,18-Oct,50-70,90-40-60,Compost,14.78,0.213,8.42
Lettuce,15-22,50-72,100-50-70,MOP,12.16,0.0938,6.13
Broccoli,18-Oct,50-72,135-68-88,NPK 20-20-20,21.21,0.1246,11.15
Bell Pepper,15-22,53-77,95-45-65,Urea,23.51,0.2805,5.59
Zucchini,18-25,55-75,90-40-60,NPK 20-20-20,28.54,0.2697,4.91
Tomato,20-Dec,65-85,110-55-75,NPK 20-20-20,18.37,0.2172,10.01
Cucumber,19-26,60-80,125-62-82,NPK 20-20-20,14.96,0.0542,3.17
Tomato,20-Dec,53-77,120-60-80,Vermicompost,9.44,0.1169,7.3
Bell Pepper,15-22,50-72,110-55-75,Compost,16.25,0.1904,7.29
Spinach,19-26,45-65,120-60-80,Vermicompost,24.03,0.1075,4.23
Bell Pepper,19-26,60-80,90-40-60,Superphosphate,5.81,0.1933,5.82
Eggplant,18-Oct,50-70,125-62-82,Vermicompost,21.85,0.2631,7.72
Bell Pepper,22-30,65-85,95-45-65,MOP,24.48,0.2336,11.15
Strawberry,18-25,50-72,135-68-88,MOP,12.46,0.1823,3.14
Broccoli,19-26,40-60,140-70-90,Vermicompost,19.13,0.0506,11.61
Zucchini,22-30,40-60,140-70-90,Vermicompost,13.2,0.2374,11.16
Strawberry,15-22,60-80,135-68-88,Ammonium Sulphate,19.31,0.2957,7.96
